Slide Number,Topic,Subject,Title,Category,Filename,Notes
1,Course Framing,,Last Time,Agenda,,Recall the structures classes and objects abstract data types encapsulation and abstraction and classes and methods from the previous lecture.
2,Course Framing,,Today's Agenda,Agenda,,Outline the instructional topics for lecture 04.01.
3,Methods and Member Functions,Methods and Member Functions,How Do Objects Acquire Behavior?,Opening Question,,Motivate methods as the mechanism that gives objects behavior.
4,Methods and Member Functions,Methods and Member Functions,Member Functions and Methods,Define,,Define method and member function and connect them to ordinary functions.
5,Methods and Member Functions,Methods and Member Functions,Class Data and Behavior,Model,,Show how a class combines state with operations that work on that state.
6,Methods and Member Functions,Methods and Member Functions,Method Anatomy,Anatomy,,Label the class name return type method name parameters and method body.
7,Methods and Member Functions,Methods and Member Functions,Declaring a Method,Setup,,Show a method prototype inside a class declaration.
8,Methods and Member Functions,Methods and Member Functions,Defining a Method Outside the Class,Demonstration,,Show ClassName::methodName() and connect the declaration to its definition.
9,Methods and Member Functions,Methods and Member Functions,Calling a Method,Trace,,Show object.method(arguments) and identify the object supplying the method state.
10,Methods and Member Functions,Methods and Member Functions,Methods as Forced Abstraction,Decision Point,,Explain how methods provide a controlled interface for object behavior.
11,Methods and Member Functions,Methods and Member Functions,Methods and Member Functions: Key Ideas,Summary,,Reinforce that methods belong to classes and operate on object state.
12,Difference Between Method and Function,Difference Between Method and Function,Why Distinguish Methods and Functions?,Opening Question,,Establish why the distinction matters when designing class behavior.
13,Difference Between Method and Function,Difference Between Method and Function,Ownership of Behavior,Contrast,,Compare a free function with a method that belongs to a class.
14,Difference Between Method and Function,Difference Between Method and Function,State Access,Model,,Show how a method operates on object state while a free function receives data through parameters.
15,Difference Between Method and Function,Difference Between Method and Function,Call Syntax Comparison,Anatomy,,Compare function(arguments) with object.method(arguments).
16,Difference Between Method and Function,Difference Between Method and Function,Choosing a Method or Function,Decision Point,,Identify when behavior belongs with an object and when a free function is more appropriate.
