lecture,week,section,Subject,emphasis,time_budget,optional,notes
,,,,,,,
p400_lecture_02.01,1,pointers,Pointer Motivation and Memory Addresses,standard,8,no,why addresses matter; pointer motivation; memory-address model; prerequisite review from the authoritative Intro to Pointers PDF
p400_lecture_02.01,1,pointers,Pointers and the Address Operator,standard,8,no,address-of operator; obtaining an object's address; pointer notation introduced from the authoritative PDF
p400_lecture_02.01,1,pointers,Arrays and Pointers,standard,10,no,array and pointer relationship; pointer notation; accessing array elements through addresses
p400_lecture_02.01,1,pointers,Pointer Arithmetic,standard,8,no,address movement and pointer notation; arithmetic rules presented in the source chapter sequence
p400_lecture_02.01,1,pointers,Initializing Pointers,standard,12,no,initialization with valid addresses; null and nullptr; safe tests; reliability and invalid-memory limitations
p400_lecture_02.01,1,pointers,Comparing Pointers,standard,8,no,comparisons involving addresses; checking null pointers and pointer relationships
p400_lecture_02.01,1,references,Reference Variables,standard,10,no,reference aliases; scope and lifetime; comparison of pointers and references
p400_lecture_02.02,1,pointers,Pointer Variables in Memory,standard,8,no,pointer storage; addresses and dereferenced values; reassigning pointers through a memory activity
p400_lecture_02.02,1,pointers,Comparing Pointers,standard,8,no,address comparisons; equality and null checks; array-boundary and dangling-pointer checks
p400_lecture_02.02,1,pointers,Pointers to Constants and Constant Pointers,standard,15,no,const applied to pointed-to data; const applied to pointer address; const pointer to const data
p400_lecture_02.02,1,pointers,Pointers as Function Parameters,standard,15,no,pointer parameters for pass-by-reference behavior; modifying original data; relationship to references
p400_lecture_02.02,1,pointers,Returning and Reassigning Pointers,standard,12,no,returning pointers; passing pointer references; pointer-to-pointer techniques for changing an address
p400_lecture_02.02,1,pointers,Function Pointers,standard,8,no,using addresses of functions; invoking code through a function pointer
p400_lecture_03.01,2,memory,C++ Memory Model and Pointer Review,standard,10,no,direct memory access; pointer recap; stack versus heap motivation; review of pointer const and function-parameter forms
p400_lecture_03.01,2,memory,Dynamic Memory Allocation,standard,12,no,stack-size limitation; heap access; new; delete and delete[]; heap-variable lifetime and access
p400_lecture_03.01,2,data_structures,Pseudo-Dynamic Arrays,standard,12,no,heap-allocated arrays with runtime size; pointer-as-array notation; allocation and cleanup algorithm
p400_lecture_03.01,2,data_structures,Real Dynamic Arrays,standard,18,no,replacement-array algorithm; growing and shrinking; copying values; freeing old storage; pointer cleanup
p400_lecture_04.01,2,oop,OOP Motivation and Progression,standard,,no,mini-programs; private and public parts; progression from prior pointer and dynamic-memory work into object-oriented design
p400_lecture_04.01,2,structures,Structures,standard,,no,grouping variables of different types; struct declaration; dot notation; initialization lists and constructors
p400_lecture_04.01,2,oop,Classes Objects and Encapsulation,standard,,no,classes as custom types; data and behavior; public access; private state; setters and getters
p400_lecture_04.01,2,adt,Abstract Data Types,standard,,no,interface versus implementation; hiding details; safe APIs; client use without internal knowledge
p400_lecture_04.01,2,methods,Methods and Public Interfaces,standard,,no,methods as object behavior; class interfaces; setters and getters; methods as forced abstraction
p400_lecture_07.01,4,constructors,Constructors and Constructor Overloading,standard,12,no,constructor rules; default and overloaded constructors; default arguments; initialization behavior
p400_lecture_07.01,4,methods,The this Pointer and Constant Member Functions,standard,14,no,self-reference through this; member-name disambiguation; const member functions; object operations
p400_lecture_07.01,4,static,Static Members,standard,10,no,shared class data; static member access; callable without an object; class-wide state
p400_lecture_07.01,4,operators,Operator Overloading Preview,standard,8,no,object operations through methods; motivation for making custom types work with familiar operators
p400_lecture_07.02,4,operators,Operator Overloading,standard,18,no,arithmetic and relational overloads; member versus stand-alone functions; pre/post increment; overload design rules
p400_lecture_07.02,4,oop,Friend Functions and Stream Operators,standard,16,no,friend access to private state; stream insertion and extraction; free-function operator overloads
p400_lecture_09.01,5,functors,Functors,standard,14,no,callable objects through overloaded operator(); stateful behavior; predicates; reusable algorithm components
p400_lecture_09.01,5,iteration,Range-Based Loops and std::for_each,standard,12,no,range-based iteration; for_each; pointers and arrays; separating loop logic from action
p400_lecture_09.01,5,functions,Lambda Expressions,standard,14,no,capture clause; parameter list; function body; concise anonymous callable syntax
p400_lecture_09.01,5,functions,Lambda Use Cases Closures and Callbacks,standard,16,no,STL algorithms; closures; callbacks; std::function; asynchronous and event-driven use cases
p400_lecture_09.02,5,templates,Function Templates,standard,16,no,generic function syntax; type deduction; template parameters; specialization and static binding
p400_lecture_09.02,5,templates,Class Templates,standard,16,no,generic class design; vector-like template classes; template inheritance; reusable type-independent containers
p400_lecture_16.01,8,exercises,Fill In the Missing Code,standard,10,no,BankAccount class; fill in printSummary() using private members; outside definition with :: ; final lecture capstone
p400_lecture_16.01,8,oop,Object-Oriented Programming,high,8,no,paradigm shift from procedural; bank/cookie-cutter analogies; class = blueprint / object = instance
p400_lecture_16.01,8,oop,Defining Member Functions,high,12,no,inline vs outside definition; :: scope resolution; StopLight example; accessor/mutator pattern
p400_lecture_16.01,8,oop,Creating and Using Objects,standard,8,no,three design decisions; Book/Library interacting objects; ClassName variableName declaration syntax
p400_lecture_16.01,8,oop,Introduction to Classes,high,12,no,class vs struct; private/public access specifiers; class anatomy two-column; Point canonical example
