Slide Number,Topic,Subject,Title,Category,Notes
1,Course Framing,,CISP 400,Section Divider,source_pages/slide-01.png
2,Course Framing,,Last Time,Progression Map,
3,Course Framing,,Agenda,Agenda,
4,Review,,Problem,Section Divider,Coding the Date class problem
5,Review,,Problem Statement,text,source_pages/slide-41.png converted into html (not an image)
6,,,<no title>,code block,cpp/Date1.cpp
7,,,<no title>,code block w/output,
8,Constructors and Constructor Overloading,,Too Much Work,Motivating Question,Is there a simpler way to handle this?
9,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Section Divider,source_pages/slide-26.png
10,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Constructors,Define,source_pages/slide-27.png
11,Constructors and Constructor Overloading,,Over and Over,text,Notice a common pattern. We initialize an object and then we use a setter to put data into it.
12,Constructors and Constructor Overloading,,Constructor Defined,Define,
13,,,<no title>,code block,Illustration of a constructor
14,,,<no title>,code block w/output,
15,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Constructor Use Case,Value Added,source_pages/slide-29.png
16,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Do All Classes Have Constructors?,Motivating Question,source_pages/slide-28.png
17,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Constructors as an Interface,Text,source_pages/slide-30.png
18,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Overloading Constructors,Enumerate,source_pages/slide-31.png
19,,,What if we have more than 1 way to initialize an object?,Motivating Question,
20,,,<no title>,visualization,visualization illustrating constructor overloading
21,Constructors and Constructor Overloading,Overloaded Constructor Example,<no title>,code block,source_pages/slide-34.png
22,,Overloaded Constructor Example,<no title>,code block w/output,
23,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Default Constructor Rule,text,source_pages/slide-32.png
24,Constructors and Constructor Overloading,Constructors and Constructor Overloading,"Constructors, Functions, and Methods",Contrast,source_pages/slide-35.png
25,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Distinguishing Constructors and Methods,Contrast,source_pages/slide-36.png
26,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Class ABC Instantiation Syntax,Complete Example,source_pages/slide-37.png
27,Constructors and Constructor Overloading,Constructors and Constructor Overloading,Bottom Line,Summary,source_pages/slide-33.png
28,Destructors,Destructors,Destructors,Section Divider,source_pages/slide-38.png
29,Destructors,Destructors,Why Do Destructors Matter?,Value Added,
30,Destructors,Destructors,When Does a Destructor Run?,Define,
31,Destructors,Destructors,<no title>,code block,source_pages/slide-39.png
32,Destructors,Destructors,<no title>,code block w/output,
33,Destructors,Destructors,No Overloaded Destructors,text,
34,Destructors,Destructors,Constructors and Destructors,Enumerate,source_pages/slide-40.png
35,Course Wrap-Up,,What We Covered,Summary,
36,Review,,Problem,Section Divider,Coding the Date class problem
37,Review,,Problem Statement,text,"Code date with 1) constructors, 2) overloaded constructors."
,,,<no title>,code block,cpp/Date2.cpp
,,,<no title>,code block w/output,
