lecture,week,section,Subject,emphasis,time_budget,optional,notes
p400_lecture_01.01,1,course_framing,Course Overview,standard,,no,Class Goal; What Will the Class Cover?; Where’s This Fit in the Course?
p400_lecture_01.01,1,core_concepts,Parts of a C++ Program,high,,no,"Two parts, every time; Part 1: Top Matter; Part 2: The main() Function; A complete C++ program"
p400_lecture_01.01,1,core_concepts,Toolset,high,,no,Operating System; Running Ubuntu; Windows Visual Studio Will NOT Compile on Ubuntu.; Programmer’s Editors
p400_lecture_01.01,1,core_concepts,Common Elements,high,,no,"The vocabulary of C++; Three categories, every program; Identifiers; Reserved words"
p400_lecture_01.01,1,course_framing,Syllabus Reconnaissance,standard,,no,Syllabus Reconnaissance; Exercise Goals; Procedure
p400_lecture_01.01,1,course_framing,Class Expectations,standard,,no,Textbook; Not Me
p400_lecture_01.01,1,core_concepts,Top Matter,high,,no,The setup section; Three components of top matter; The Source File Header; The SFH template
p400_lecture_01.01,1,course_framing,Instructor Role,standard,,no,Why Should We Listen to You?; Why Don’t You Get Back to Me Right Away?
p400_lecture_01.01,1,core_concepts,The main() Function,high,,no,Where execution begins; The `main()` declaration; Why `main` returns `int`; Curly braces define a block
p400_lecture_01.01,1,course_framing,Course Placement at FLC,standard,,no,CIS AS Degree; CIS AS Degree; Common Questions; You Are Responsible for Your Code
p400_lecture_01.01,1,application,Coding Exercise 1-1,standard,,no,Your first C++ program; The task; 1-1.cpp; Expected output
p400_lecture_01.01,1,course_framing,Reciprocal Interview,standard,,no,Exercise Goals; Procedure
p400_lecture_01.01,1,course_framing,Success Team Bingo,standard,,no,Exercise Goals; Debrief
p400_lecture_01.01,1,course_framing,Advice Cards,standard,,no,Exercise Goals; Advice Cards; Debrief
p400_lecture_01.02,1,course_framing,Course Framing,standard,,no,CISP 400
p400_lecture_01.02,1,course_framing,CISP 360 Review: Variables and Conditionals,standard,,no,Old Friends; Variables; 4.2 The if Statement; if Statement
p400_lecture_01.02,1,core_concepts,Iteration,high,,no,Iteration
p400_lecture_01.02,1,core_concepts,Functions,high,,no,Functions; Function Prototypes
p400_lecture_01.02,1,application,Programming Exercise,standard,,no,Programming Exercise; Exercise Goals; Programming Exercise; Programming Exercise Debriefing
p400_lecture_01.02,1,course_framing,Pointers Preview,standard,,no,What's This Section About?; Pointers Agenda
p400_lecture_01.02,1,course_framing,Desk Check,standard,,no,Desk Check Exercise; Exercise Goals; Desk Check Exercise
p400_lecture_01.02,1,core_concepts,Coding for Reuse,high,,no,Coding for Reuse; Ideas for Writing Reusable Software; Ideas for Writing Reusable Software
p400_lecture_01.02,1,course_framing,Success Team Bingo,standard,,no,Success Team Bingo; Exercise Goals; Debrief
p400_lecture_01.02,1,pointers_and_references,References,high,,no,References
p400_lecture_01.02,1,core_concepts,Logging Function,high,,no,A Logging Function; What?; Why?; When? / Use Case
p400_lecture_02.01,2,pointers_and_references,Pointers and the Address Operator,high,,no,Slides 17–19
p400_lecture_02.01,2,pointers_and_references,Arrays and Pointers,high,,no,Slides 20–21
p400_lecture_02.01,2,course_framing,Course Framing,standard,,no,Slides 1–3
p400_lecture_02.01,2,application,Debugging Exercise,standard,,no,Slides 60–65
p400_lecture_02.01,2,course_framing,Desk Check,standard,,no,Slides 66–70
p400_lecture_02.01,2,course_framing,Homework Preflight,standard,,no,Slides 43–47
p400_lecture_02.01,2,pointers_and_references,Initializing Pointers,high,,no,Slides 25–42
p400_lecture_02.01,2,pointers_and_references,Pointer Arithmetic,high,,no,Slides 22–24
p400_lecture_02.01,2,pointers_and_references,Pointer Motivation and Memory Addresses,high,,no,Slides 9–16
p400_lecture_02.01,2,application,Programming Exercise,standard,,no,Slides 4–8
p400_lecture_02.01,2,pointers_and_references,Reference Variables,high,,no,Slides 53–59
p400_lecture_02.01,2,pointers_and_references,References,high,,no,Slides 71–71
