date,lecture,category,lesson,applied
2026-03-07,p400_lecture_08.01,Quarto syntax,"The # (h1) heading is Slide 1. The intro paragraph immediately below it is the slide body. <!-- Slide 1 --> goes after that paragraph, before the first --- separator. Miscounting here leads to slide total mismatches.",no
2026-03-07,p400_lecture_08.01,structure,A short recap slide (≤2 min) bridging from the previous lecture's limitations works better than jumping straight into new syntax. It gives students a motivation frame before content starts.,no
2026-03-07,p400_lecture_08.01,voice,"The instructor's PDF uses questions as slide titles (e.g. 'What's the big idea?', 'That sounds like an if statement…'). Apply this question-as-hook pattern more consistently on introductory slides — it mirrors the source material's style and pulls students in.",no
2026-03-07,p400_lecture_08.01,structure,"When a lecture introduces multiple variants of the same concept (e.g. three loop types), end with a 'which one to use?' decision framework before the lab. Students need synthesis before application — skipping it produces guessing, not reasoning.",no
2026-03-07,p400_lecture_08.01,structure,"The intro paragraph under a topic's # heading should appear on a separate ## slide with the same title, not on the # slide itself. In Reveal.js the # slide is a vertical navigation parent — putting content there makes it easy to skip.",no
2026-03-07,p400_lecture_08.01,structure,"When a slide needs both a concept explanation and a code example, use two consecutive ## slides with the same title: first slide has the concept as bullets, second slide has the code. This is the implementation of the 'no text on both sides of code' rule.",no
2026-03-07,p400_lecture_08.01,Quarto syntax,"Use ::: {.columns} / ::: {.column width=""50%""} / ::: / ::: for two-column layout. Code blocks inside columns require ```{.cpp} (dot notation) not ```cpp. Close each column with ::: and the outer container with ::: (trailing space). Use for side-by-side code comparison and multi-choice scenario slides.",no
2026-03-07,p400_lecture_08.01,structure,"When you have a code example do not have text on the same page unless the example is very short (<6 lines). Even then, have text either above or below the code example but not both. It’s OK to add another slide if needed.",no
2026-03-07,p400_lecture_08.01,structure,Prefer lists to blocks of text.,
2026-03-15,p400_lecture_09.02,slide length,"Opening slides should contain no prose paragraphs. The opening slide poses the question and stops — one short question headline plus at most one or two bullets. Any explanatory paragraph belongs on a subsequent slide.",no
2026-03-15,p400_lecture_09.02,voice,"Opening question titles should be headline-length fragments, not full interrogative sentences. 'Moving a loop through every element in a collection?' not 'How does a loop move through every element in a collection?'",no
2026-03-15,p400_lecture_09.02,slide length,"Summary slides should use bullet lists, not prose paragraphs. Each bullet captures one takeaway. Drop trailing wrap-up sentences.",no
2026-03-15,p400_lecture_09.02,slide length,"Remove trailing explanatory sentences after bullet lists. If the bullets are clear, the sentence restating their logic is filler.",no
2026-03-15,p400_lecture_09.02,voice,"Add dot-padded inline comments to code examples to narrate specific lines (e.g. //.......... outer loop). This turns code into annotated reading material instead of a block students have to decode.",no
2026-03-15,p400_lecture_09.02,structure,"For visual or structural concepts, show the concrete artifact first and let students process it before naming the concept. A bare 3x3 table posing the problem, then the answer on the next slide, is more effective than a text question.",no
2026-03-15,p400_lecture_09.02,structure,"Use nested sub-bullets for hierarchical content. Do not pack sub-items inline after an em-dash on the same bullet line.",no
2026-03-15,p400_lecture_09.02,Quarto syntax,"Use # (h1) for Last Time and Today's Agenda slides so they become proper horizontal sections alongside topic columns, not vertical slides in an implicit section 0.",no
2026-03-16,p400_lecture_10.01,structure,"On code-heavy slides, explanatory bullets that annotate the code belong in speaker notes, not below the code block. Post-code bullets create text-on-both-sides violations and clutter the visual.",no
2026-03-17,p400_lecture_11.01,structure,"For topics that introduce a concept students already know in another form (e.g. arrays when students know vectors), open with an explicit contrast framing — 'same idea, different contract' — rather than a neutral definition. It orients students faster and reduces the feeling that they're starting from zero.",no
2026-03-17,p400_lecture_11.01,structure,"When a topic has a direct 'which one to use?' decision (e.g. index-based for loop vs. range-for), put the decision framework on its own slide near the end of the topic — after students have seen both options — rather than burying it in bullets on an earlier slide. Students need to see the options before they can reason about the choice.",no
2026-03-17,p400_lecture_11.02,structure,"When introducing an algorithm that modifies data in place (e.g. swap in bubble sort), show the broken version first — what happens if you skip the temp variable — before showing the correct version. The failure mode is more memorable than a rule stated up front.",no
2026-03-17,p400_lecture_11.02,structure,"When a topic has a pointer/value gotcha that will bite students immediately (e.g. array decay on function arguments), plant a one-slide preview of the problem in the preceding topic rather than waiting for the full explanation. Students encounter the surprise in a low-stakes context first, so the detailed explanation lands on already-primed minds.",no
