"Slide Number","Topic","Subject","Title","Category","Filename"
"1","Course Framing","","CISP 400","Section Divider","source_pages/slide-01.png"
"2","Course Framing","","Last Time","Progression Map","source_pages/slide-02.png"
"3","Course Framing","","Agenda","Agenda","source_pages/slide-03.png"
"4","Course Framing","","Theme for Today","Image","source_pages/slide-04.png"
"5","Course Framing","","“Method.”","Image","source_pages/slide-05.png"
"6","Course Framing","","Chapter 7","Image","source_pages/slide-06.png"
"7","Course Framing","","Agenda","Agenda","source_pages/slide-07.png"
"8","Course Framing","","Agenda","Agenda","source_pages/slide-08.png"
"9","Homework Preflight","","Lightning Review","Section Divider","source_pages/slide-09.png"
"10","Homework Preflight","","Lightning Review","Image","source_pages/slide-10.png"
"11","Homework Preflight","","Homework 2 Pre ight","Demonstration","source_pages/slide-11.png"
"12","Homework Preflight","","Debrief","Demonstration","source_pages/slide-12.png"
"13","Homework Preflight","","Coding Exercise","Demonstration","source_pages/slide-13.png"
"14","Homework Preflight","","Source Slide 14","Image","source_pages/slide-14.png"
"15","Selecting Members of Objects","Selecting Members of Objects","10.12 Selecting","Section Divider","source_pages/slide-15.png"
"16","Selecting Members of Objects","Selecting Members of Objects","What do we do when we need to access pointers","Image","source_pages/slide-16.png"
"17","Selecting Members of Objects","Selecting Members of Objects","Source Slide 17","Image","source_pages/slide-17.png"
"18","Selecting Members of Objects","Selecting Members of Objects","Source Slide 18","Image","source_pages/slide-18.png"
"19","Selecting Members of Objects","Selecting Members of Objects","Use the parentheses to make sure the * binds rst.","Image","source_pages/slide-19.png"
"20","Selecting Members of Objects","Selecting Members of Objects","Turn our attention to two pointers.","Image","source_pages/slide-20.png"
"21","Selecting Members of Objects","Selecting Members of Objects","Source Slide 21","Image","source_pages/slide-21.png"
"22","Selecting Members of Objects","Selecting Members of Objects","Source Slide 22","Image","source_pages/slide-22.png"
"23","Selecting Members of Objects","Selecting Members of Objects","Parentheses to the rescue again.","Image","source_pages/slide-23.png"
"24","Selecting Members of Objects","Selecting Members of Objects","The structure pointer operator can also help us.","Image","source_pages/slide-24.png"
"25","Selecting Members of Objects","Selecting Members of Objects","Source Slide 25","Image","source_pages/slide-25.png"
